Leading.proteinsPositions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value daf2_d10_eat2_d10;Student's T-test q-value  daf2_d10_eat2_d10; Student's T-test Difference  daf2_d10_eat2_d10;Student's T-test Test statistic  daf2_d10_eat2_d10;Sign p-val: 0.05 
G5ED44(12);19,2194;21,3965;19,5801;21,735;21,7125;20,9593;20,8012;21,2061;0,467689;0,222034;-0,687054;-1,03481;
Q5FC45(854);21,6003;22,9858;21,6215;21,3334;23,6523;22,7987;23,072;22,0753;1,06118;0,0479103;-1,01429;-2,04484;+
Q5FC45(307);20,3933;20,6756;18,6287;19,05;23,623;21,7816;25,2729;24,7083;2,40319;0,00334963;-4,15957;-4,53553;+
Q5FC45(871);24,8682;26,5419;25,3724;25,9323;27,2826;26,2944;27,3539;26,1053;1,16864;0,0371708;-1,08031;-2,22404;+
G5ED91(140);25,2055;24,0143;23,6708;25,1456;21,2377;20,2472;21,5471;21,0468;3,46413;0,000810526;3,48937;7,27452;+
G5EDB7(450);32,6133;31,2048;26,1458;30,2693;31,7257;32,7008;32,3778;28,7382;0,342748;0,319603;-1,32734;-0,80001;
G5EDD4(162);20,3842;19,2414;20,1496;20,3465;26,6035;26,4235;26,9844;26,2328;6,10956;0;-6,53063;-20,9198;+
G5EDD4(368);26,9035;26,7952;28,6948;25,7684;27,3576;28,1131;28,7483;27,3227;0,567327;0,167307;-0,844975;-1,21272;
G5EDD8(5);21,0128;21,6426;19,4914;20,0439;21,0917;20,7865;20,8687;21,5662;0,467959;0,221968;-0,530609;-1,0353;
G5EDD8(154);20,7306;21,4222;19,0277;20,166;20,7684;21,1544;21,4472;21,3658;0,795863;0,0928411;-0,84733;-1,60322;
G5EDD8(91);23,1564;23,8634;23,1028;21,4523;22,7318;22,9267;23,119;26,2618;0,385812;0,281715;-0,866138;-0,882774;
Q8WSN6(260);22,2251;21,9899;23,1992;22,3149;20,0409;21,2286;20,4907;20,8257;2,56117;0,00206326;1,7858;4,88696;+
G5EF18(429);20,0677;19,0576;19,5975;19,8044;21,4381;21,291;21,471;19,9698;1,82245;0,00928347;-1,41066;-3,36958;+
G5EDI0(343);18,6186;20,1197;20,6298;18,6269;21,3227;20,3783;19,943;20,5072;0,888097;0,0731296;-1,03906;-1,75723;
G5EDJ3(252);24,4236;25,6644;24,6543;25,7417;26,6972;28,0684;27,4813;24,6061;0,98611;0,0568622;-1,59222;-1,92011;
G5EDJ3(12);20,6033;19,8764;21,5876;20,3132;25,1169;24,0011;25,268;27,7969;2,86978;0,0011633;-4,9506;-5,62489;+
G5EDJ3(14);19,7211;21,0309;18,7496;19,5811;20,0449;20,9773;20,4324;20,918;0,782466;0,0951356;-0,822473;-1,58075;
G5EDJ6(122);19,1985;21,0487;19,6189;18,1849;20,2928;19,6108;20,8382;20,6251;0,601327;0,153597;-0,828971;-1,27208;
X5LQ26(33);18,5137;20,5982;20,4996;21,2598;22,4753;21,6621;22,4289;22,6321;1,78446;0,00995601;-2,08178;-3,2991;+
X5LQ26(121);20,2536;19,5489;20,6824;18,4294;20,6267;19,2565;21,76;20,1122;0,442598;0,238321;-0,710275;-0,98887;
G5EDM5(73);21,4897;19,9986;18,8337;19,8565;20,2962;19,68;21,879;20,7752;0,370651;0,294667;-0,612994;-0,853885;
H9G2Y1(125);19,5874;18,6141;18,7402;20,6971;21,4044;19,9295;20,3675;18,8177;0,449046;0,233963;-0,72007;-1,00073;
G5EDQ0(896);17,5472;16,6755;18,9686;20,185;23,7188;22,8757;23,4166;23,6727;3,14923;0,0011145;-5,07689;-6,35956;+
G5EDQ4(122);18,3167;21,0693;18,9227;20,6613;21,5325;19,4631;21,5489;20,7611;0,624251;0,145151;-1,08392;-1,31178;
G5EDQ4(446);25,0039;23,3076;24,3981;23,2672;25,2683;25,4966;24,7689;22,6176;0,289035;0,377559;-0,543628;-0,693381;
G5EDQ7(113);20,0563;21,0517;18,3018;19,8617;20,708;20,2154;21,7626;20,1451;0,622249;0,14608;-0,889858;-1,30833;
G5EDQ7(94);24,3156;24,3391;22,9217;26,8561;19,8339;20,039;21,4677;19,4743;2,49727;0,00252826;4,40439;4,74281;+
G5EDR3(441);24,7764;24,9238;23,9449;23,0006;20,6505;21,3908;21,8294;20,819;2,92346;0,0012084;2,98898;5,76083;+
G5EDR3(169);23,4039;23,3319;22,8544;23,1399;22,9518;23,6005;24,1519;26,4065;0,698864;0,120357;-1,09515;-1,43958;
G5EDR3(144);18,8962;17,3717;21,0674;21,3076;21,1456;19,3976;21,645;20,7109;0,454484;0,230125;-1,06407;-1,0107;
G5EDT9(203);24,0207;22,3244;25,2438;23,8362;21,889;19,7207;21,5907;19,3075;1,97136;0,00699919;3,22929;3,65194;+
G5EFK9(889);19,3826;19,5819;19,0242;19,913;25,6336;25,5106;25,7879;21,8847;2,79857;0,00167401;-5,22874;-5,44816;+
G5EDV3(109);23,6252;23,3756;23,5691;24,6276;23,7017;22,1372;23,1877;23,1691;0,875896;0,0754082;0,750443;1,73691;
G5EDV3(126);18,4484;17,53;18,8892;18,6803;21,0756;19,9199;21,8154;20,6252;2,59532;0,0020597;-2,47207;-4,96517;+
G5EDV3(40);24,108;24,1439;24,7913;20,8271;26,212;25,3608;25,6434;23,0777;0,689246;0,12344;-1,60591;-1,42321;
G5EDV3(248);19,776;19,8066;21,0117;20,0398;21,8112;20,0979;21,6142;20,0425;0,625794;0,144846;-0,732924;-1,31445;
G5EDV3(24);20,469;18,6915;20,2992;20,9719;19,8179;21,5573;20,6125;21,5822;0,564065;0,168468;-0,784578;-1,20699;
G5EDV3(90);21,6896;19,5512;18,1667;19,7489;19,9554;21,4788;21,4688;20,6166;0,641612;0,139755;-1,0908;-1,34171;
G5EDY3(98);18,5656;20,256;18,5207;17,64;26,8096;25,1864;26,7012;22,9099;3,11745;0,00109159;-6,65618;-6,27252;+
G5EDY3(172);18,2349;18,5877;21,5995;18,5761;21,6885;21,0837;20,688;21,5398;1,2972;0,0283609;-2,00045;-2,44042;+
Q564W1(125);20,6303;19,4986;18,4186;18,1862;21,6953;21,4051;21,2765;21,0148;2,01836;0,00644407;-2,16447;-3,74321;+
G5EDY8(587);21,4416;19,6841;19,2805;20,8647;21,1015;20,4918;21,1336;20,6123;0,435696;0,243162;-0,517066;-0,976138;
G5EDZ9(61);19,8931;20,7809;20,3016;18,2323;21,1477;20,7115;21,4066;21,1099;1,18912;0,0356803;-1,29196;-2,25833;+
G5EE04(60);19,245;17,6186;21,4615;19,4842;20,7487;19,2171;20,5949;21,085;0,492415;0,20692;-0,959095;-1,07959;
G5EE04(198);20,3884;19,1918;19,6317;18,2782;22,3536;20,7533;22,0995;24,375;1,88338;0,00821846;-3,02283;-3,4839;+
Q8I4B4(248);20,7455;17,7049;19,4181;18,6754;20,6401;21,4576;19,7424;20,6509;1,05549;0,0483477;-1,48679;-2,03539;+
G5EE13(974);21,552;19,9544;20,3039;18,6646;21,7387;20,9848;20,1559;20,6799;0,523163;0,189407;-0,77113;-1,13466;
G5EE41(42);16,3597;19,966;19,9717;20,9472;21,4048;21,4322;21,6035;21,3965;1,10833;0,0421361;-2,14808;-2,12333;+
G5EE62(56);19,5577;17,8373;20,1643;19,7481;21,0222;20,888;20,4107;20,924;1,50581;0,0176561;-1,48434;-2,79906;+
G5EE67(135);19,5667;17,4207;19,3926;18,5578;21,0006;20,3493;20,5245;21,1649;2,07034;0,00581472;-2,0254;-3,84546;+
G5EE67(133);20,1485;17,6838;19,6389;20,4493;21,1787;20,7215;21,7941;20,3806;1,16666;0,0372094;-1,53858;-2,22071;+
G5EE67(8);23,8518;23,1039;23,4732;21,7524;25,3583;25,2565;26,0691;25,7105;2,68667;0,00196809;-2,55331;-5,17845;+
G5EE88(143);20,5371;21,562;20,0449;19,5737;21,7765;20,1432;21,1487;20,0507;0,238736;0,440793;-0,35036;-0,589367;
G5EEA8(91);19,8648;21,139;20,2304;20,5815;20,4905;21,4558;21,4977;21,4035;1,08728;0,0448551;-0,757943;-2,08826;+
G5EEA8(170);18,9028;18,3477;20,5571;20,9941;23,5118;23,1666;22,9618;21,9793;2,37237;0,00348133;-3,20447;-4,46886;+
G5EEA8(258);21,0707;21,3764;19,6402;19,7606;21,5403;18,9046;20,8041;20,0368;0,0699562;0,788548;0,140528;0,195808;
G5EEB6(70);20,886;17,9191;20,1202;20,5206;21,5273;20,9237;19,1191;20,2487;0,294289;0,371582;-0,593211;-0,703999;
G5EED5(63);27,4813;27,3593;26,6296;25,7731;20,1805;20,7476;21,6728;20,3979;4,65256;0;6,06109;11,8115;+
G5EED5(296);26,0469;26,2761;26,6813;27,2461;29,2269;28,4627;28,9486;23,551;0,302421;0,3621;-0,984673;-0,720348;
G5EEG4(91);20,5776;18,3568;18,7254;21,5372;21,5496;20,6768;21,4673;21,01;0,88836;0,0731707;-1,37666;-1,75766;
G5EEP9(11);20,2493;19,0164;21,7582;20,6041;20,8511;20,9366;21,5605;20,8224;0,490415;0,207745;-0,63563;-1,07599;
G5EEP9(185);19,0657;19,7549;19,9984;19,1281;21,0263;20,0501;20,7569;21,3899;1,94902;0,00731245;-1,31901;-3,60892;+
G5EEP9(186);21,5397;19,4596;18,4501;21,1922;21,434;21,5611;21,6123;20,6623;0,745109;0,106206;-1,15703;-1,51788;
G5EEP9(1196);18,0453;18,3095;20,5441;20,599;23,0406;23,2766;23,2086;23,0795;2,7913;0,00165457;-3,77682;-5,43035;+
G5EEP9(340);20,4792;17,8593;18,8184;19,8411;21,8652;20,1813;21,333;20,9999;1,46738;0,0192228;-1,84535;-2,73213;+
G5EEI9(473);21,5095;19,4178;20,0505;17,8705;21,584;20,1916;19,8286;20,4227;0,416981;0,256197;-0,794624;-0,941398;
G5EEJ7(36);17,5194;20,161;19,4384;19,5139;21,6948;19,5245;21,3082;20,7961;1,18962;0,0356715;-1,67273;-2,25917;+
G5EEK1(484);19,8048;19,6106;19,6031;19,8349;22,1654;22,726;21,7607;23,072;4,01243;0,000553846;-2,71767;-9,12851;+
G5EEK1(517);18,0014;18,8621;20,5339;19,8142;24,9502;25,6443;25,2507;24,6246;4,1852;0,00072;-5,81454;-9,79212;+
G5EEK1(24);20,9543;18,4968;19,5961;19,8097;24,3491;25,5413;25,7226;22,7119;2,89101;0,00118354;-4,867;-5,67838;+
G5EEK9(703);25,9238;27,5417;26,8373;23,8596;26,3683;28,3159;28,1839;23,2094;0,125152;0,648041;-0,47878;-0,334157;
G5EEK9(729);19,3678;20,3166;19,373;21,1313;21,8379;20,0993;21,1032;18,1309;0,0990576;0,712346;-0,245667;-0,270208;
G5EEK9(730);17,8539;18,3154;21,7054;19,0322;26,7507;25,0172;26,8499;23,8099;2,87795;0,00116875;-6,38024;-5,64543;+
G5EEK9(167);25,4167;23,3612;24,9165;22,1043;23,1428;23,2734;23,0561;21,9014;0,647031;0,137818;1,10624;1,35102;
G5EEL9(80);22,4324;22,7825;22,8199;22,7897;21,4546;21,174;21,5292;20,2088;2,64663;0,00198446;1,61447;5,08422;+
G5EEL9(93);21,645;21,3139;19,4843;19,772;21,8955;19,3875;21,6489;20,7534;0,183166;0,529866;-0,367555;-0,468603;
G5EEL9(110);19,1145;20,0203;20,2835;17,8573;20,578;19,6338;21,417;21,1858;1,0613;0,0479581;-1,38477;-2,04505;+
G5EEL9(113);19,2534;21,0509;21,0387;19,6367;20,4273;20,5498;20,8531;19,5517;0,0656049;0,79984;-0,100548;-0,184372;
G5EEL9(129);20,042;19,2251;21,2652;16,2355;20,3315;21,443;20,2963;21,3627;0,730307;0,11046;-1,66645;-1,49288;
G5EEN7(149);21,1694;17,9833;19,4922;19,2541;20,6352;20,879;20,1442;20,8617;0,8579;0,0791854;-1,15529;-1,70692;
G5EEN7(150);16,974;20,8804;19,8596;20,4046;19,861;21,4557;21,7422;20,5176;0,672913;0,12856;-1,36444;-1,39536;
G5EGR6(209);24,7476;24,4338;25,1228;23,9448;25,0386;23,9371;25,0782;25,2647;0,284081;0,382716;-0,267403;-0,683331;
G5EET8(124);20,6295;19,9992;18,9528;18,7844;21,558;21,7296;22,0458;20,098;1,54692;0,0161056;-1,76636;-2,87115;+
G5EET8(104);19,6876;18,6341;18,8553;19,0869;21,2426;20,9493;21,4677;21,5912;3,81253;0,000407547;-2,24672;-8,41049;+
G5EET8(90);24,3873;22,4185;24,6278;25,0212;25,8596;24,1947;25,2737;23,688;0,363246;0,299855;-0,640309;-0,839679;
G5EET8(96);17,7687;19,2221;18,9976;18,9057;20,8349;20,4418;20,6003;19,0829;1,60187;0,0142788;-1,51643;-2,96836;+
G5EET8(97);19,2429;20,1262;21,813;19,885;21,6253;21,531;21,6609;20,9647;1,0714;0,0465931;-1,1787;-2,06184;+
G5EET8(150);19,1594;18,9887;20,5922;20,3237;21,6426;20,902;21,1412;20,0154;1,1497;0,0386204;-1,1593;-2,19236;+
G5EET8(28);25,7843;24,92;25,7409;24,1841;24,5257;25,5021;24,1495;25,1638;0,272714;0,397398;0,322037;0,660114;
G5EET8(42);19,6089;20,6676;18,8427;21,1883;21,5413;20,6311;21,8017;21,3941;1,1353;0,0394473;-1,2652;-2,16831;+
G5EEU1(32);19,8502;19,2196;19,839;18,3675;20,5949;19,5216;21,6889;19,5707;0,825575;0,0851404;-1,02497;-1,65296;
G5EEU1(65);17,1271;17,9492;19,5628;20,3679;19,8039;20,5242;19,3247;20,9412;0,852556;0,080194;-1,39678;-1,69801;
G5EEV5(118);20,0257;21,7335;19,3128;18,7638;19,3369;20,9962;21,0885;21,3221;0,40591;0,265134;-0,727007;-0,920687;
G5EEV9(218);21,2032;20,8139;19,4802;20,7673;20,2213;20,3164;21,4982;21,4744;0,246421;0,43073;-0,311431;-0,605555;
G5EEW9(516);24,5042;24,2257;23,6354;23,9577;25,9007;22,4206;23,6438;26,5035;0,22053;0,467598;-0,53642;-0,550546;
G5EGD5(66);24,0548;23,6769;23,735;24,2548;23,5845;23,7196;23,7948;21,5432;0,66408;0,131728;0,769893;1,38025;
G5EGD5(141);20,3447;21,2102;19,0365;19,2409;21,5616;20,4694;21,0669;20,1645;0,700212;0,119974;-0,857522;-1,44187;
G5EGD5(102);19,7381;19,9625;20,0479;21,1679;21,6173;19,9939;20,726;21,0593;0,634914;0,141838;-0,620028;-1,33018;
G5EGD5(105);20,0217;19,9877;19,1698;20,2685;20,0209;19,0672;21,0992;20,8907;0,333052;0,328859;-0,407552;-0,78106;
G5EF05(1491);28,1097;28,0685;27,9954;27,7754;30,6519;30,3726;29,9428;29,597;3,9268;0,00048;-2,15384;-8,81463;+
G5EF32(101);19,8869;18,9745;20,5262;19,1735;20,5585;20,8405;21,6786;20,6117;1,57424;0,0154191;-1,28209;-2,91936;+
G5EF32(71);18,0502;19,8769;22,0475;19,7142;19,907;20,2651;21,1355;20,4407;0,243341;0,435126;-0,514906;-0,599081;
G5EF37(117);23,4726;22,5353;24,1907;22,9329;22,4155;24,7871;24,6968;26,7714;0,70078;0,119715;-1,38481;-1,44283;
G5EF37(105);25,7697;25,6284;25,8472;23,6725;26,3513;25,2625;25,9477;23,9184;0,067153;0,796132;-0,14052;-0,18845;
G5EF82(491);17,8381;21,1508;18,9091;21,0483;20,185;20,8326;18,1855;21,352;0,142466;0,610254;-0,402194;-0,375317;
G5EF87(486);19,5704;19,9991;19,023;19,347;20,8203;20,0936;21,0702;20,9003;2,22409;0,00463118;-1,23622;-4,15628;+
G5EFC4(736);20,0616;21,0435;18,2682;19,2934;21,5789;21,1615;21,1538;20,8103;1,32084;0,0269249;-1,50944;-2,48053;+
G5EFD7(104);19,7222;19,772;21,9168;20,1827;20,9232;21,3418;20,0248;20,3803;0,176642;0,541663;-0,269116;-0,453951;
G5EFD7(105);21,7185;20,9729;21,6134;21,238;25,0194;24,2844;25,5092;24,0595;3,94242;0,000488688;-3,33239;-8,87117;+
G5EFE3(451);20,5079;19,5967;19,53;19,6163;21,6388;20,6893;20,948;21,1887;2,26148;0,00433366;-1,30348;-4,23386;+
G5EFF2(20);22,9967;23,6941;22,4705;21,7362;23,4636;22,5831;22,968;22,1262;0,0421699;0,870484;-0,0608592;-0,121232;
G5EFF2(5);16,785;17,9594;18,4379;20,3794;20,7423;20,5855;17,901;21,1814;0,806919;0,0903019;-1,71211;-1,62175;
G5EFI4(39);23,9866;23,4199;24,9997;24,7815;22,1945;21,7453;22,265;22,826;2,51401;0,00238596;2,03924;4,78029;+
G5EFI4(65);21,0525;18,4413;19,9426;19,8178;21,2053;20,8103;20,5892;20,7782;0,959129;0,0600711;-1,03222;-1,8753;
G5EFK4(73);16,7523;19,6126;21,0895;18,9165;20,4521;20,1534;21,5084;20,4912;0,818866;0,0873068;-1,5585;-1,64174;
G5EFK4(142);18,3254;19,1466;18,0527;21,6771;21,4118;19,3691;19,944;19,4578;0,33426;0,327749;-0,745273;-0,783428;
G5EFM0(455);18,0494;21,2404;19,5938;19,5317;23,0614;22,5926;24,1007;25,5466;2,41883;0,00314193;-4,22149;-4,56958;+
G5EFP2(100);20,5592;20,1009;17,1046;20,361;21,6076;20,5827;19,0912;19,6761;0,302558;0,362012;-0,708011;-0,720621;
G5EFP2(51);20,8896;21,6828;23,1942;20,5869;26,2616;25,8391;25,5284;25,5866;3,35682;0,000843091;-4,21553;-6,95158;+
G5EFP2(214);19,3481;19,3539;21,8183;19,4901;20,8195;19,5428;21,6386;20,9024;0,431983;0,246133;-0,723257;-0,969272;
G5EFQ4(305);20,9054;19,7419;20,6111;21,4398;19,8919;21,2812;21,5736;19,2929;0,0919996;0,729159;0,164632;0,25248;
G5EFQ4(320);20,022;21,1117;21,1585;18,2524;21,916;21,1959;20,8366;20,5583;0,638462;0,140561;-0,990532;-1,33629;
G5EFS0(500);19,2686;19,7229;20,8405;19,5761;24,0094;23,6613;24,4355;23,8889;4,45843;0;-4,14675;-10,9305;+
G5EFS0(501);18,2642;19,8446;21,2642;20,4572;24,0094;25,2895;24,4355;26,9662;2,90976;0,00119872;-5,2176;-5,7259;+
G5EFS1(408);24,3487;24,3733;24,961;25,7559;25,8047;24,7393;24,2718;26,8567;0,36334;0,299852;-0,558419;-0,83986;
G5EFS1(3);20,6201;21,3121;18,863;19,2993;21,3946;21,0411;21,6524;20,4926;0,915504;0,0672319;-1,12152;-1,80282;
G5EFS5(75);20,2929;19,5435;20,7013;19,9372;20,1107;20,247;20,3177;20,5056;0,28117;0,386127;-0,176507;-0,677406;
G5EFS5(346);21,189;21,2763;18,8394;18,0849;21,2279;20,8235;21,6714;20,4827;0,681219;0,125789;-1,20397;-1,40953;
G5EFS5(347);18,5051;18,029;20,9131;18,918;21,3008;21,0137;21,823;20,8881;1,75557;0,0104686;-2,16506;-3,24592;+
G5EFS5(409);20,1877;18,4681;20,3856;20,7298;18,0038;20,7121;20,2895;21,5061;0,0732884;0,780376;-0,185085;-0,204508;
G5EFS5(28);24,2201;25,5707;23,7773;23,294;20,8839;20,7268;21,4722;20,4234;3,09728;0,00106764;3,33896;6,21779;+
G5EFS5(255);19,8137;20,6028;20,5246;18,3003;20,7168;20,389;21,8569;20,7966;0,924491;0,0657798;-1,12948;-1,81776;
G5EFV4(92);21,9294;21,237;22,1586;22,3801;21,1392;21,3312;21,1879;21,5334;1,26778;0,0301876;0,628354;2,39065;+
G5EFV4(93);19,2197;18,5856;19,6631;19,3619;22,5521;22,6307;24,1296;23,2853;4,02026;0,000556701;-3,94185;-9,15769;+
G5EFZ1(261);19,9226;19,3427;19,5995;19,7617;20,8615;20,6867;20,0946;20,3525;2,14159;0,00533818;-0,842184;-3,9879;+
G5EFZ2(17);24,0009;23,4876;25,0987;24,4251;23,7829;23,2407;24,1881;23,4265;0,725327;0,111447;0,593543;1,48445;
G5EG03(16);23,5616;23,2478;24,8491;24,7581;25,8942;24,9342;25,743;26,3675;1,74144;0,0108559;-1,63056;-3,22002;+
G5EG03(17);23,5616;23,2478;24,8491;24,7581;25,8942;24,9342;25,743;23,1362;0,499004;0,202921;-0,822735;-1,09145;
G5EG03(655);25,6427;24,5063;26,7569;25,6739;21,4643;21,1779;21,8314;21,3854;3,90084;0,000457627;4,18022;8,72136;+
G5EG11(100);19,4522;20,2005;19,2477;20,4052;21,8415;20,9689;21,5285;20,4474;1,7762;0,010095;-1,37014;-3,28386;+
G5EG39(96);20,4734;17,917;17,9971;18,4787;19,8436;21,1939;21,006;19,687;1,27614;0,0299123;-1,71611;-2,40478;+
G5EG58(1151);20,3588;18,9067;20,7945;18,841;20,4577;20,7331;21,563;20,9832;1,14743;0,0387555;-1,209;-2,18858;+
G5EG58(378);18,5098;21,7054;18,6663;19,4844;22,7086;21,2934;21,9556;24,9751;1,55594;0,0159339;-3,1417;-2,88703;+
G5EG58(387);20,8227;18,9535;18,7579;21,1642;21,3826;21,3165;21,4844;25,9963;1,03579;0,0500205;-2,62033;-2,00264;
G5EG58(661);19,2933;20,0274;19,8119;20,4373;24,2989;23,2788;24,1768;23,1461;4,24734;0,000794118;-3,83265;-10,0411;+
G5EGA5(358);21,1561;20,0609;22,4375;21,8572;21,6644;19,5556;21,1425;24,8186;0,128955;0,639498;-0,417339;-0,34328;
G5EGA5(325);19,2021;20,1192;21,2055;19,8733;21,5288;20,9624;20,1533;20,9867;0,796218;0,0928539;-0,807808;-1,60382;
G5EGA5(332);21,8019;18,9955;19,2182;19,1597;20,7957;21,1492;21,8725;21,2366;1,08066;0,0458173;-1,46964;-2,07725;+
G5EGA5(143);21,7274;17,8342;20,3781;20,8108;21,5049;18,6869;21,3649;20,1515;0,0815812;0,756902;-0,239474;-0,225949;
G5EGA5(18);20,7847;16,659;20,9055;19,8547;21,2855;20,2321;20,9811;21,4439;0,673093;0,128595;-1,43468;-1,39566;
G5EGA5(319);19,4635;21,5899;19,6457;20,674;21,9796;19,901;20,0166;20,374;0,121638;0,655792;-0,224529;-0,325684;
G5EGA5(12);19,2863;20,4259;22,0717;18,6825;21,5248;21,4042;21,7898;21,3209;0,945265;0,0622036;-1,39327;-1,85227;
G5EGA5(11);18,6632;19,4656;20,313;19,7595;21,422;21,1477;20,5069;20,0776;1,4455;0,0200401;-1,23819;-2,69421;+
G5EGB1(103);28,0391;27,2885;29,2639;27,4995;25,0879;26,1414;26,8242;23,7641;1,73472;0,010975;2,56839;3,20773;+
G5EGB1(111);24,0581;24,4207;24,6542;22,932;26,8893;26,0788;26,8088;27,0419;3,06964;0,0010373;-2,68847;-6,14336;+
G5EGB1(220);21,3326;18,8891;21,4312;21,4452;22,8083;21,6113;22,177;25,4886;1,1015;0,0432644;-2,24677;-2,11195;+
G5EGB1(66);20,1861;17,3413;18,9762;17,3683;20,8578;20,7426;20,2284;20,8679;1,6917;0,0121929;-2,20618;-3,1295;+
G5EGB1(185);19,5339;18,6674;19,211;19,6222;19,4968;20,4758;21,5953;20,6631;1,4484;0,0199195;-1,29914;-2,69923;+
G5EGB1(30);20,1868;18,3055;18,5944;20,8192;25,0839;25,0366;23,6587;19,9686;1,58474;0,0148701;-3,96047;-2,93794;+
G5EGB1(14);24,6162;24,1618;25,3275;24,722;26,8468;26,1045;26,992;27,0281;3,12835;0,00109774;-2,03598;-6,30228;+
G5EGB3(130);20,4621;21,7064;20,9299;21,7938;24,5215;24,4478;25,2082;21,5849;1,69878;0,0119832;-2,71757;-3,14233;+
G5EGD4(470);19,0966;20,7094;20,0503;19,8127;21,6948;20,3011;21,5022;24,4022;1,16533;0,0373567;-2,05783;-2,2185;+
G5EGE9(220);20,5848;20,0687;20,8364;18,6018;23,8096;23,3498;23,0235;24,767;2,98519;0,00116498;-3,71454;-5,92011;+
G5EGF1(317);19,1294;19,5785;18,4857;18,8767;20,7171;19,9909;21,0134;19,4818;1,66642;0,012769;-1,28322;-3,08384;+
G5EGJ5(444);19,7734;21,33;20,3478;18,769;20,9377;20,4978;20,8669;20,6432;0,588409;0,159207;-0,68136;-1,24959;
G5EGJ5(431);24,6541;24,7308;25,2276;25,0028;22,4932;21,2409;21,903;20,4342;3,4836;0,000691489;3,38602;7,33442;+
G5EGK8(50);18,9364;20,422;19,405;21,162;21,8629;19,568;20,7818;19,7569;0,293044;0,372853;-0,511079;-0,701486;
G5EGN2(106);19,9895;18,4818;21,9308;19,7261;20,541;21,2756;21,8701;19,6713;0,4175;0,255959;-0,807451;-0,942365;
G5EGP4(285);22,6084;23,8572;22,0117;23,4341;26,3727;26,2795;26,7522;25,0861;2,91297;0,00120257;-3,14476;-5,73406;+
G5EGP4(144);18,8684;20,0299;20,2203;20,2571;21,8133;20,9015;21,6835;21,2457;2,15849;0,00517064;-1,56709;-4,02209;+
G5EGP4(172);17,5175;19,9278;21,2511;18,0002;21,8033;21,163;20,4479;20,4893;1,00441;0,0541648;-1,80176;-1,95051;
G5EGP4(175);23,8458;26,1196;25,7436;25,1543;28,9162;28,0011;27,9017;23,6698;0,731999;0,110148;-1,90638;-1,49574;
G5EGP4(92);19,6591;21,0873;18,6038;21,4862;26,4844;26,1012;26,5129;25,673;3,87971;0,000444444;-5,98382;-8,64607;+
G5EGP4(167);20,8793;20,1431;20,4193;17,5693;24,0263;23,9516;24,3598;25,5925;2,88503;0,00117425;-4,72983;-5,66327;+
G5EGP4(267);20,0375;21,521;20,584;18,9822;24,9578;25,4504;24,9886;27,2099;3,42407;0,00077193;-5,37051;-7,15257;+
G5EGP4(280);25,8379;24,2049;24,7594;21,9847;23,6719;24,3062;24,2735;24,9202;0,0392292;0,878369;-0,0962172;-0,113113;
G5EGT4(54);20,6226;20,9394;19,4576;20,1779;23,9613;21,8396;23,238;25,0383;2,30652;0,00410789;-3,21994;-4,32841;+
G8JXY5(235);19,1139;17,7923;18,747;17,0606;23,4309;23,0973;23,7035;22,0988;3,815;0,000410646;-4,9042;-8,41904;+
G8JXY9(12);19,8321;20,6917;19,8437;20,5612;21,5216;23,217;23,5667;23,8643;2,57318;0,00207843;-2,81021;-4,91437;+
G8JXY9(463);19,0199;20,4167;19,1651;19,3782;21,3795;21,0918;21,1839;21,5367;2,79628;0,00166667;-1,80303;-5,44254;+
G8JXY9(464);18,7379;19,313;18,5298;19,62;21,14;20,5061;18,9966;19,8209;1,05311;0,0485853;-1,06574;-2,03143;+
G8JXY9(22);23,0732;23,4156;23,2614;21,2753;24,6614;23,3868;24,7532;25,3772;1,47764;0,0188477;-1,78828;-2,74996;+
G8JY31(24);18,8235;19,6372;19,1537;20,0824;24,6723;23,5163;22,9756;23,7094;4,12906;0,000679245;-4,29419;-9,57193;+
G8JY31(31);20,1172;19,9326;19,9881;20,1468;26,7421;26,5562;27,201;23,8491;3,67616;0,000556291;-6,0409;-7,94917;+
G8JY40(107);24,0235;23,8791;23,653;24,6156;25,0896;25,8256;25,9333;24,8349;2,17404;0,00506395;-1,37803;-4,05367;+
G8JY63(197);20,1369;18,0649;19,9388;21,0242;21,1692;20,2515;20,8699;20,602;0,693009;0,121919;-0,931927;-1,42962;
G8JY83(29);25,2046;25,1416;25,2154;24,6936;24,6641;24,7135;25,2942;25,7179;0,0416865;0,871655;-0,0336437;-0,119901;
G8JY83(33);24,8733;25,3217;25,2559;25,0095;26,3594;26,2723;27,0177;25,7369;2,31853;0,00400402;-1,23148;-4,35384;+
G8JY83(48);35,3371;35,9525;35,462;33,7471;35,8881;37,1498;36,4201;34,4771;0,537965;0,181785;-0,859099;-1,16095;
G8JY83(63);33,2789;33,4329;33,5496;31,1094;29,4677;29,4572;30,0993;23,5603;1,54076;0,0163517;4,69658;2,86032;+
G8JY83(6);30,196;29,6528;31,2962;28,8661;27,0852;29,5122;29,5357;27,6606;0,982189;0,0574648;1,55435;1,9136;
